treat;selection;outcome
0;1;2.079441542
0;1;1.658228077
1;1;1.816452082
0;1;1.675225653
1;1;2.014903021
1;1;1.871802177
0;0;0
1;1;1.638996715
1;1;2.140066163
1;0;0
1;1;1.78339122
0;0;0
1;0;0
0;0;0
0;0;0
1;0;0
1;0;0
0;0;0
1;1;2.1102132
1;0;0
0;0;0
1;1;1.994700313
1;1;1.791759469
0;1;1.791759469
0;1;2.351375257
1;1;2.186051277
0;1;1.967873703
0;0;0
0;1;2.197224577
0;1;2.222542385
0;1;2.429217744
1;0;0
1;1;1.945910149
0;0;0
1;1;1.791759469
0;1;2.014903021
1;1;2.48490665
1;1;2.392197252
0;1;2.251291799
0;0;0
1;1;2.029463172
0;0;0
1;1;1.32175584
1;1;1.396633339
0;1;1.981001469
1;0;0
0;1;2.120263536
1;1;1.791759469
0;1;2.091864062
0;0;0
0;0;0
1;1;1.945910149
1;1;2.140066163
1;1;2.327277706
1;1;1.994700313
1;1;2.931193752
0;1;-0.182321557
1;1;1.863954803
1;0;0
1;1;2.1102132
0;1;1.873339456
1;0;0
0;0;0
1;1;2.397895273
1;0;0
1;1;2.708050201
1;1;2.040220829
1;1;1.945910149
1;0;0
0;0;0
1;0;0
0;0;0
1;1;2.097772498
0;0;0
1;0;0
1;1;1.832581464
0;0;0
0;1;2.302585093
1;0;0
1;0;0
0;0;0
1;1;1.906842787
1;1;1.974081026
1;1;1.871802177
0;0;0
1;1;1.92349327
0;0;0
1;0;0
0;1;1.458615023
1;1;2.140066163
1;0;0
1;0;0
1;1;2.079441542
0;1;1.791759469
1;1;1.988969639
1;1;2.014903021
1;0;0
1;0;0
0;0;0
1;1;2.302585093
1;1;2.079441542
0;1;2.282382386
0;1;2.397895273
0;1;1.704748092
1;1;2.109000344
1;1;2.397895273
1;0;0
0;1;1.945910149
0;0;0
1;0;0
0;0;0
1;1;2.047692843
0;1;1.31556387
1;0;0
1;1;2.038619547
0;1;1.791759469
0;1;1.871802177
0;1;1.93747128
1;1;1.280933845
0;1;1.945910149
1;1;1.791759469
1;0;0
1;1;1.791759469
1;0;0
0;0;0
1;1;2.122261539
1;0;0
1;1;1.749199855
1;1;1.658228077
1;1;2.079441542
1;1;2.200552367
0;0;0
1;0;0
0;1;1.93874166
0;0;0
1;1;1.832581464
1;1;2.197224577
0;0;0
1;0;0
1;0;0
1;0;0
1;1;0
1;0;0
0;0;0
1;1;2.288486169
1;0;0
1;1;2.397895273
0;1;2.31944221
1;0;0
1;0;0
1;1;2.197224577
0;1;2.112634509
1;0;0
1;0;0
0;0;0
1;0;0
1;1;2.047692843
1;0;0
1;1;1.677096561
0;1;2.302585093
0;0;0
1;1;1.791759469
1;0;0
1;0;0
1;0;0
0;0;0
1;0;0
0;0;0
1;1;1.945910149
1;0;0
1;1;1.85629799
1;0;0
1;1;2.197224577
1;0;0
1;1;2.302585093
0;1;1.918518516
1;0;0
0;1;1.559965467
1;1;1.871802177
1;1;2.603263665
1;0;0
1;0;0
1;1;2.140066163
1;0;0
0;0;0
0;0;0
1;1;1.686398954
1;1;2.772588722
1;1;1.791759469
